GRAPH,TAG,LEM,ORTH
à base de,PREP,,
à bon droit,ADV,,
à bord,ADV,,
à bord de,PREP,,
à bout de,PREP,,
à bout de force,ADJ,,
à bout portant,ADV,,
à brûle-pourpoint,ADV,,
a capella,ADV,,
a cappella,ADV,,
à cause de,PREP,,
à cet égard,PREP,,
à chaque fois,ADV,,
à chaque fois que,CONJsub,,
à cloche-pied,ADV,,
à compter de,PREP,,
à condition de,PREP,,
a contrario,ADV,,
à côté de,PREP,,
à coup de,PREP,,
à coup sûr,ADV,,
à défaut de,PREP,,
à dessein de,PREP,,
à destination de,PREP,,
à fin de,PREP,,
à fond,ADV,,
à fond,ADV,,
à force de,PREP,,
a fortiori,ADV,,
à fortiori,ADV,,
a giorno,ADV,,
à giorno,ADV,,
à glagla,ADV,,
à grand renfort de,PREP,,
à haute voix,ADV,,
à jeun,ADV,,
à jeun,ADV,,
à juste titre,ADV,,
à l'autre bout de,PREP,,
à l'aveuglette,ADV,,
à l'aveuglette,ADV,,
à l'égard de,PREP,,
à l'encan,ADV,,
à l'encan,ADV,,
à l'envi,ADV,,
à l'envi,ADV,,
à l'improviste,ADV,,
à l'improviste,ADV,,
à l'instant même,ADV,,
à l’adresse de,PREP,,
à l’aide de,PREP,,
à l’appui de,PREP,,
à l’aulne de,PREP,,
à l’aune de,PREP,,
à l’avenant,PREP,,
à l’effet de,PREP,,
à l’égal de,PREP,,
à l’égard de,PREP,,
à l’encontre,PREP,,
à l’endroit de,PREP,,
à l’entour de,PREP,,
à l’épreuve de,PREP,,
à l’exemple de,PREP,,
à l’extérieur de,PREP,,
à l’imitation de,PREP,,
à l’instant,ADV,,
à l’instar de,PREP,,
à l’intérieur de,PREP,,
à l’ombre de,PREP,,
à l’opposé de,PREP,,
à l’unisson,PREP,,
à la condition de,PREP,,
à la fois,ADV,,
à la longue,ADV,,
à la lumière de,PREP,,
à la mémoire de,PREP,,
à la place de,PREP,,
à la réserve de,PREP,,
à la saint-glinglin,ADV,,
à la sortie de,PREP,,
à la suite de,PREP,,
à la vue de,PREP,,
à la zeub,PREP,,
à leur encontre,ADV,,
à long terme,ADV,,
à lurelure,ADV,,
à mon encontre,ADV,,
à notre encontre,ADV,,
à nouveau,ADV,,
à NUM fois,ADV,,
à part,PREP,,
à part ça,PREP,,
à partir de,PREP,,
à partir de là,PREP,,
à peine,ADV,,
à peine de,PREP,,
à perte de vue,ADV,,
à peu près,ADV,,
a posteriori,ADV,,
à posteriori,ADV,,
à présent,ADV,,
a priori,ADV,,
a priori,SUB,,
à priori,ADV,,
à propos de,PREP,,
à proprement parler,ADV,,
à quoi bon,ADVquest,,
à raison de,PREP,,
à ras,ADJ,,
à ras bord,ADV,,
à rebours,ADV,,
à rebours de,PREP,,
à rebrousse-poil,ADV,,
à sens unique,ADV,,
à son encontre,ADV,,
à tâtons,ADV,,
à terme,PREP,,
à tire-larigot,ADV,,
à titre de,PREP,,
à ton encontre,ADV,,
à touche-touche,ADV,,
à travers,PREP,,
à tue-tête,ADV,,
à valeurs dans,PREP,,
à voir,PREP,,
à voix basse,ADV,,
à voix haute,ADV,,
à votre encontre,ADV,,
à vrai dire,ADV,,
au premier chef,ADV,,
au premier abord,ADV,,
au bas,ADV,,
au bas de,PREP,,
au beau milieu de,PREP,,
au bord de,PREP,,
au bout de,PREP,,
au cas où,CONJsub,,
au contraire,ADV,,
au contraire de,PREP,,
au cours de,PREP,,
au delà,,,au-delà
au-delà,ADV,,
au dépourvu,ADV,,
au détriment de,PREP,,
au droit de,PREP,,
au lieu de,PREP,,
au lieu et place de,PREP,,
au milieu de,PREP,,
au moins,ADV,,
au moment de,PREP,,
au moment où,PREP,,
au moyen de,PREP,,
au niveau de,PREP,,
au nom de,PREP,,
au préjudice de,PREP,,
au prétexte de,PREP,,
au prix de,PREP,,
au ras de,PREP,,
au rebours de,PREP,,
au regard de,PREP,,
au risque de,PREP,,
au sein de,PREP,,
au sens étroit,ADV,,
au sens figuré,ADV,,
au sens large,ADV,,
au sens propre,ADV,,
au sortir de,PREP,,
au spectacle de,PREP,,
au sujet de,PREP,,
au temps de,PREP,,
au travers,PREP,à travers,
au travers de,PREP,,
au vu de,PREP,,
au vu et au su de,PREP,,
au vu et su de,PREP,,
autrement dit,ADVconj,,
autrement dire,,,autrement dit
aux aguets,ADV,,
aux dépens de,PREP,,
aux fins de,PREP,,
aux lieu et place de,PREP,,
aux portes de,PREP,,
aux yeux de,PREP,,
académie des sciences,,,Académie des Sciences
Académie des Sciences,SUB,,
académie des sciences morales,,,Académie des Sciences morales et politiques
Académie des Sciences morales,,,Académie des Sciences morales et politiques
académie des sciences morales et politiques,,,Académie des Sciences morales et politiques
Académie des Sciences morales et politiques,SUB,,
